,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,"\n","\t"," ","0","[1-9]","x","s","[g-rt-wyz]","[a-f]","_","#","\[","]","\+","-","\.","=",":","!","<",">","\*","/","\(","\)",",",";","\\{","\\}","@","default"
0,-1,-1,-1,21,21,1,1,1,1,108,-1,26,109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,199
1,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,5
2,25,25,25,1,1,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
3,3,3,3,-1,4,23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,104,104,104,1,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
5,10,10,10,1,1,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
6,105,105,105,1,1,105,105,105,105,105,105,105,105,1,1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
7,103,103,103,1,1,103,103,103,1,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
8,106,106,106,1,1,106,106,106,1,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
9,10,10,10,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,8,8,8,1,1,8,8,8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
11,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
13,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,1,101,101,101,101,101,101,101,101,101,101,101,101,101,101
14,102,102,102,102,102,102,102,102,102,102,-1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
